RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2022-05-31,2022-07-31,2023-04-30
394765,213,"Lake Havasu City, AZ",Msa,AZ,2022-04-30,2.3,6.8,17.3
395047,214,"Saginaw, MI",Msa,MI,2022-04-30,1.0,3.7,11.0
394763,215,"Lake Charles, LA",Msa,LA,2022-04-30,0.4,2.3,4.2
394726,216,"Johnson City, TN",Msa,TN,2022-04-30,-0.1,2.2,7.4
394565,217,"Elkhart, IN",Msa,IN,2022-04-30,1.4,4.6,11.6
395247,218,"Yuma, AZ",Msa,AZ,2022-04-30,2.2,6.1,15.0
395011,219,"Racine, WI",Msa,WI,2022-04-30,0.4,2.8,8.9
394346,220,"Athens, GA",Msa,GA,2022-04-30,1.2,4.9,13.5
395162,221,"Torrington, CT",Msa,CT,2022-04-30,1.2,4.4,10.3
395118,222,"St. Cloud, MN",Msa,MN,2022-04-30,1.5,4.2,9.6
394681,223,"Hilton Head Island, SC",Msa,SC,2022-04-30,2.8,8.3,17.7
753869,224,"Bloomington, IL",Msa,IL,2022-04-30,2.2,5.7,9.3
394680,225,"Hilo, HI",Msa,HI,2022-04-30,2.8,8.1,16.2
394960,226,"Panama City, FL",Msa,FL,2022-04-30,2.0,6.0,14.0
394748,227,"Kingston, NY",Msa,NY,2022-04-30,0.8,4.5,14.4
394519,228,"Daphne, AL",Msa,AL,2022-04-30,1.4,5.2,14.3
394623,229,"Gainesville, GA",Msa,GA,2022-04-30,1.5,6.4,17.0
395202,230,"Warner Robins, GA",Msa,GA,2022-04-30,1.8,4.7,9.9
394392,231,"Blacksburg, VA",Msa,VA,2022-04-30,0.7,2.9,6.5
394716,232,"Jacksonville, NC",Msa,NC,2022-04-30,1.7,4.9,11.5
395018,233,"Redding, CA",Msa,CA,2022-04-30,1.3,5.0,11.5
394872,234,"Monroe, LA",Msa,LA,2022-04-30,0.9,3.5,5.9
394729,235,"Joplin, MO",Msa,MO,2022-04-30,1.7,4.6,9.6
394559,236,"El Centro, CA",Msa,CA,2022-04-30,0.8,4.8,13.2
395151,237,"Terre Haute, IN",Msa,IN,2022-04-30,1.1,3.5,7.9
394896,238,"Muskegon, MI",Msa,MI,2022-04-30,1.3,4.8,13.2
394553,239,"East Stroudsburg, PA",Msa,PA,2022-04-30,1.2,4.4,14.0
395102,240,"Sioux City, IA",Msa,IA,2022-04-30,0.9,3.7,6.1
394651,241,"Greenville, NC",Msa,NC,2022-04-30,1.6,4.3,9.8
395210,242,"Waterloo, IA",Msa,IA,2022-04-30,0.5,2.4,4.7
394944,243,"Oshkosh, WI",Msa,WI,2022-04-30,0.9,3.5,9.5
395246,244,"Yuba City, CA",Msa,CA,2022-04-30,0.9,4.3,11.8
394299,245,"Abilene, TX",Msa,TX,2022-04-30,1.4,4.2,8.9
394485,246,"Columbia, MO",Msa,MO,2022-04-30,1.9,5.0,9.7
394539,247,"Dover, DE",Msa,DE,2022-04-30,1.4,4.4,9.9
394555,248,"Eau Claire, WI",Msa,WI,2022-04-30,1.9,5.5,11.8
